CÓDIGO,SUBSTITUTOS,NOME,FABRICA,EMBALAGEM,PREÇO 38%,MST C/,MUL C/,CADASTRO PRODUTO,EM LINHA,ECOM,COMPRADOR,SEGMENTO,CATEGORIA,GRUPO,SUBGRUPO,VALOR EST.,ABC GRU 90D,EST. CD,ULT. ENT. CD,EST. UNE,ULT. ENT. UNE,LVERDE,EXPO. MIN,TRAVA,END. ESTOQUE UNE,ULT. AUDITORIA PDV,ROTINA,CLASSE,DATA CRIA LINHAVERDE,SOLICITAÇÃO,QTD SOL,DATA SOL,STATUS,ENDEREÇO LIN CD,ENDEREÇO RESERVA CD,EAN
602428,,APLICACAO CORACAO COURO MF-PA-17 ROSA,KIT,ATA - C/3       ,1.9902,1000,20,2018-05-09,SIM,NÃO,NEILOR COMPRAS ,ARMARINHO E CONFECÇÃO,AVIAMENTOS,APLICAÇÕES,SIMPLES,0.0,C,,2018-11-06 00:00:00,0,,0,20.0,NÃO,0,SEM VISTA,,,00:00:00,,,,,,,
636945,,APLICACAO ESTRELA METALICO 40475-02A 6.5CM DOURADO,KIT,ATA - C/5       ,2.9884,1000,20,2019-05-13,SIM,SIM,NEILOR COMPRAS ,ARMARINHO E CONFECÇÃO,AVIAMENTOS,APLICAÇÕES,SIMPLES,0.0,B,,2020-08-28 00:00:00,0,,0,20.0,NÃO,0,SEM VISTA,,,00:00:00,,,,,,,
636944,,APLICACAO ESTRELA METALICO 40475-02A 6.5CM VERMELHO,KIT,ATA - C/5       ,2.9884,1000,20,2019-05-13,SIM,SIM,NEILOR COMPRAS ,ARMARINHO E CONFECÇÃO,AVIAMENTOS,APLICAÇÕES,SIMPLES,0.0,C,,2020-08-28 00:00:00,0,,0,20.0,NÃO,0,SEM VISTA,,,00:00:00,,,,,,,
533276,,APLICACAO FLOR G ROCOCO ORGANZA MF29 04 ROSA,KIT,ATA - C/16      ,0.992,1000,20,2016-06-10,SIM,NÃO,NEILOR COMPRAS ,ARMARINHO E CONFECÇÃO,AVIAMENTOS,APLICAÇÕES,SIMPLES,0.0,0,,2019-11-12 00:00:00,0,,16,20.0,NÃO,0,SEM VISTA,,,2021-02-20 07:12:44.367000,,,,,,,
532684,,APLICACAO FLOR ROCOCO MESCLADA MF25 ROSA BEBE,KIT,ATA - C/12      ,1.9902,1000,20,2016-06-08,SIM,SIM,NEILOR COMPRAS ,ARMARINHO E CONFECÇÃO,AVIAMENTOS,APLICAÇÕES,SIMPLES,0.0,0,,2020-12-28 00:00:00,0,,16,20.0,NÃO,0,SEM VISTA,,,2021-02-20 07:12:44.693000,,,,,,,
360695,,APLICACAO LACO CETIM N.00 YY009 053 (1799) VERDE PISTACHE,KIT,ATA - C/50      ,4.4888,1000,20,2013-06-13,SIM,NÃO,NEILOR COMPRAS ,ARMARINHO E CONFECÇÃO,AVIAMENTOS,APLICAÇÕES,SIMPLES,0.0,C,,2020-09-29 00:00:00,0,,20,20.0,NÃO,0,SEM VISTA,,,2021-02-20 07:12:45.663000,,,,,,,
360660,,APLICACAO LACO CETIM N.02 YY004 001 BRANCO,KIT,ATA - C/50      ,4.991,1000,20,2013-06-13,SIM,SIM,NEILOR COMPRAS ,ARMARINHO E CONFECÇÃO,AVIAMENTOS,APLICAÇÕES,SIMPLES,0.0,0,,2020-08-28 00:00:00,0,,18,20.0,NÃO,0,SEM VISTA,,,2021-02-20 07:12:46.040000,,,,,,,
360673,,APLICACAO LACO CETIM N.02 YY004 140 LILAS,KIT,ATA - C/50      ,4.991,1000,20,2013-06-13,SIM,SIM,NEILOR COMPRAS ,ARMARINHO E CONFECÇÃO,AVIAMENTOS,APLICAÇÕES,SIMPLES,0.0,C,,2019-11-12 00:00:00,0,,16,20.0,NÃO,0,SEM VISTA,,,2021-02-20 07:12:46.367000,,,,,,,
360668,,APLICACAO LACO CETIM N.02 YY004 147/076 ROSA MEDIO,KIT,ATA - C/50      ,4.991,1000,20,2013-06-13,SIM,SIM,NEILOR COMPRAS ,ARMARINHO E CONFECÇÃO,AVIAMENTOS,APLICAÇÕES,SIMPLES,0.0,C,,2020-08-28 00:00:00,0,,20,20.0,NÃO,0,SEM VISTA,,,2021-02-20 07:12:46.507000,,,,,,,
532289,,APLICACAO LACO CETIM N.02 YY004 157/104 DOURADO,KIT,ATA - C/50      ,4.991,1000,20,2016-06-07,SIM,SIM,NEILOR COMPRAS ,ARMARINHO E CONFECÇÃO,AVIAMENTOS,APLICAÇÕES,SIMPLES,0.0,C,,2020-08-28 00:00:00,0,,20,20.0,NÃO,0,SEM VISTA,,,2021-02-20 07:12:46.350000,,,,,,,
360670,,APLICACAO LACO CETIM N.02 YY004 182/104 AZUL BEBE,KIT,ATA - C/50      ,4.991,1000,20,2013-06-13,SIM,SIM,NEILOR COMPRAS ,ARMARINHO E CONFECÇÃO,AVIAMENTOS,APLICAÇÕES,SIMPLES,0.0,C,,2020-08-28 00:00:00,0,,20,20.0,NÃO,0,SEM VISTA,,,2021-02-20 07:12:46.633000,,,,,,,
716391,,APLICACAO LACO CETIM NAC N.02 YY004 080 VERDE AGUA,KIT,ATA - C/50      ,4.991,0,0,2023-03-13,SIM,NÃO,NEILOR COMPRAS ,ARMARINHO E CONFECÇÃO,AVIAMENTOS,APLICAÇÕES,SIMPLES,99.82,C,,2024-03-15 00:00:00,20,,20,,SIM,0,SEM VISTA,,,2023-04-19 12:36:28.837000,,,,,,,
653607,,APLICACAO PEGADAS AZUL PASCOA R.203012,PIFFER,ATA - UNID      ,4.991,6,0,2020-01-31,SIM,NÃO,JESSICA LIMA   ,SAZONAIS,PÁSCOA,SAZONAL/PASCOA,SIMPLES,0.0,B,,2023-02-17 00:00:00,0,,0,,NÃO,0,SEM VISTA,,,00:00:00,,,,,,,
653606,,APLICACAO PEGADAS ROSA PASCOA R.203011,PIFFER,ATA - UNID      ,4.991,6,0,2020-01-31,SIM,NÃO,JESSICA LIMA   ,SAZONAIS,PÁSCOA,SAZONAL/PASCOA,SIMPLES,0.0,C,,2023-02-17 00:00:00,0,,0,,NÃO,0,SEM VISTA,,,00:00:00,,,,,,,
598043,,APLICACAO TERMOCOLANTE INF FOGUETE R2266,KIT,ATA - C/3       ,0.992,0,0,2018-04-17,SIM,NÃO,NEILOR COMPRAS ,ARMARINHO E CONFECÇÃO,AVIAMENTOS,APLICAÇÕES,SIMPLES,0.0,C,,2020-09-29 00:00:00,0,,20,20.0,NÃO,0,SEM VISTA,,,2021-02-20 07:12:47.023000,,,,,,,
350730,,APLIQUE 145 FLOR PEQUENA CETIM 108 LILAS,MARILDA,ATA - C/5       ,1.9902,0,0,2013-03-15,SIM,NÃO,APARECIDA      ,ARMARINHO E CONFECÇÃO,AVIAMENTOS,APLIQUES                           ,SIMPLES,0.0,0,,2021-10-21 00:00:00,0,,0,,NÃO,0,SEM VISTA,,,00:00:00,,,,,,,
342501,,APLIQUE BRADS EPOXI C/08 REF.BD42,ARTE MONTAGEM,ATA - UNID      ,4.867,0,0,2012-12-17,SIM,,,ARTES,ARTESANATO,APLIQUES                           ,SIMPLES,0.0,,,00:00:00,0,,0,,NÃO,0,SEM VISTA,,,00:00:00,,,,,,,
687627,,APLIQUE EM PAPEL DIE CUTS DIAS MELHORES II R.LDC-28,LITOARTE,ATA - UNID      ,5.301,0,5,2021-11-10,SIM,NÃO,BRUNO DIAS     ,ARTES,ARTESANATO,APLIQUES                           ,SIMPLES,15.903,C,,2023-03-03 00:00:00,3,,0,,NÃO,0,SEM VISTA,,,00:00:00,,,,,,,
687578,,APLIQUE EM PAPEL DIE CUTS MAE R.LDC-23,LITOARTE,ATA - UNID      ,5.301,0,5,2021-11-09,SIM,NÃO,BRUNO DIAS     ,ARTES,ARTESANATO,APLIQUES                           ,SIMPLES,31.806,C,,2022-10-18 00:00:00,6,,0,,NÃO,0,SEM VISTA,,,00:00:00,,,,,,,
